iter	Passed	Remaining
0	153	153288
1	154	77074
2	155	51635
3	156	38889
4	157	31367
5	160	26516
6	160	22807
7	161	20042
8	162	17872
9	163	16200
10	164	14786
11	165	13653
12	166	12662
13	168	11872
14	169	11128
15	170	10465
16	170	9877
17	171	9350
18	171	8878
19	173	8520
20	174	8139
21	175	7800
22	176	7477
23	176	7181
24	177	6918
25	178	6701
26	179	6470
27	180	6260
28	181	6061
29	182	5891
30	183	5734
31	184	5568
32	184	5409
33	185	5262
34	185	5122
35	186	4994
36	187	4877
37	188	4766
38	189	4671
39	190	4566
40	190	4466
41	191	4369
42	192	4275
43	193	4199
44	194	4131
45	195	4048
46	195	3968
47	196	3892
48	196	3818
49	197	3748
50	197	3682
51	198	3622
52	199	3560
53	199	3502
54	200	3447
55	201	3392
56	201	3338
57	202	3285
58	202	3234
59	203	3185
60	203	3137
61	204	3096
62	205	3052
63	205	3009
64	206	2967
65	206	2926
66	207	2890
67	208	2856
68	209	2822
69	209	2788
70	210	2752
71	210	2718
72	211	2684
73	211	2652
74	212	2620
75	212	2588
76	213	2558
77	213	2528
78	214	2499
79	214	2471
80	215	2445
81	216	2420
82	216	2395
83	217	2370
84	218	2347
85	218	2324
86	219	2301
87	220	2280
88	220	2258
89	221	2237
90	221	2215
91	222	2193
92	223	2177
93	224	2162
94	225	2144
95	226	2128
96	226	2110
97	227	2092
98	227	2074
99	228	2056
100	229	2040
101	229	2023
102	231	2018
103	232	2006
104	233	1991
105	234	1975
106	234	1960
107	235	1945
108	236	1930
109	236	1917
110	238	1911
111	239	1897
112	240	1886
113	241	1873
114	241	1859
115	242	1847
116	243	1834
117	243	1820
118	244	1806
119	244	1793
120	245	1780
121	246	1771
122	246	1758
123	247	1747
124	247	1735
125	248	1726
126	249	1715
127	250	1703
128	250	1691
129	251	1680
130	251	1668
131	252	1657
132	253	1650
133	253	1640
134	254	1629
135	254	1618
136	255	1608
137	255	1598
138	256	1588
139	256	1578
140	257	1568
141	257	1558
142	258	1547
143	258	1538
144	259	1528
145	259	1519
146	260	1511
147	260	1502
148	261	1493
149	262	1485
150	262	1477
151	263	1468
152	263	1460
153	264	1452
154	264	1444
155	265	1435
156	265	1427
157	266	1419
158	266	1412
159	267	1405
160	268	1399
161	269	1391
162	269	1384
163	270	1376
164	270	1369
165	271	1361
166	271	1354
167	272	1347
168	272	1340
169	273	1333
170	273	1325
171	274	1319
172	274	1312
173	275	1309
174	276	1305
175	277	1299
176	278	1292
177	278	1286
178	279	1280
179	279	1274
180	280	1267
181	280	1261
182	281	1255
183	281	1249
184	282	1244
185	283	1242
186	285	1239
187	285	1233
188	286	1227
189	286	1222
190	287	1216
191	287	1210
192	288	1205
193	288	1199
194	289	1193
195	289	1188
196	290	1184
197	291	1180
198	292	1176
199	292	1171
200	293	1166
201	294	1162
202	294	1157
203	295	1152
204	295	1147
205	296	1142
206	298	1142
207	299	1138
208	299	1133
209	300	1129
210	300	1124
211	301	1119
212	301	1114
213	302	1109
214	302	1105
215	303	1100
216	303	1095
217	304	1093
218	305	1090
219	306	1085
220	306	1081
221	307	1077
222	307	1072
223	308	1068
224	308	1063
225	309	1059
226	309	1055
227	310	1050
228	310	1046
229	311	1043
230	312	1040
231	313	1036
232	313	1032
233	314	1028
234	314	1024
235	315	1020
236	315	1015
237	316	1011
238	316	1007
239	317	1003
240	317	1000
241	318	996
242	318	992
243	319	991
244	320	987
245	321	984
246	321	980
247	322	977
248	322	973
249	323	969
250	323	966
251	324	962
252	324	958
253	325	955
254	325	951
255	326	948
256	327	946
257	328	943
258	328	940
259	329	937
260	329	933
261	330	930
262	330	927
263	331	923
264	331	920
265	332	916
266	332	913
267	333	910
268	334	908
269	334	905
270	335	902
271	335	899
272	336	896
273	336	892
274	337	889
275	337	886
276	338	883
277	338	880
278	339	877
279	339	874
280	340	871
281	341	868
282	342	866
283	342	863
284	343	861
285	343	858
286	344	855
287	344	852
288	345	849
289	345	846
290	346	843
291	346	840
292	347	838
293	347	835
294	348	832
295	349	830
296	349	828
297	350	825
298	350	822
299	351	820
300	351	817
301	352	814
302	352	811
303	353	809
304	353	806
305	354	803
306	354	801
307	356	801
308	357	799
309	358	797
310	358	794
311	359	791
312	359	789
313	360	786
314	360	783
315	361	781
316	361	778
317	361	776
318	362	773
319	363	771
320	363	769
321	364	767
322	365	765
323	365	762
324	366	760
325	366	757
326	367	755
327	367	753
328	368	750
329	368	748
330	369	745
331	369	743
332	369	741
333	370	739
334	371	737
335	372	735
336	372	733
337	373	731
338	373	729
339	374	726
340	374	724
341	375	722
342	375	719
343	376	717
